"TIME","CH1","CH2","CH3"
-9.624e-03,-1.74,2.6,0.96
-9.622e-03,-1.68,2.6,0.92
-9.620e-03,-1.78,2.6,0.96
-9.618e-03,-1.74,2.5,0.92
-9.616e-03,-1.7,2.4,0.92
-9.614e-03,-1.74,2.6,0.84
-9.612e-03,-1.7,2.7,0.96
-9.610e-03,-1.72,2.2,1.08
-9.608e-03,-1.76,2.7,0.96
-9.606e-03,-1.74,2.6,1
-9.604e-03,-1.68,2.6,1
-9.602e-03,-1.76,2.4,1.04
-9.600e-03,-1.74,2.6,0.92
-9.598e-03,-1.8,2.4,0.96
-9.596e-03,-1.76,2.6,0.96
-9.594e-03,-1.74,2.5,0.92
-9.592e-03,-1.8,2.4,0.92
-9.590e-03,-1.7,2.7,1
-9.588e-03,-1.68,2.7,0.96
-9.586e-03,-1.76,2.7,0.96
-9.584e-03,-1.78,2.5,1.12
-9.582e-03,-1.74,2.7,1.04
-9.580e-03,-1.74,2.6,0.92
-9.578e-03,-1.76,2.5,0.96
-9.576e-03,-1.76,2.6,0.96
-9.574e-03,-1.72,2.4,1
-9.572e-03,-1.74,2.5,1.08
-9.570e-03,-1.76,2.5,1
-9.568e-03,-1.74,2.7,0.92
-9.566e-03,-1.72,2.5,0.92
-9.564e-03,-1.78,2.2,0.92
-9.562e-03,-1.78,2.3,1
-9.560e-03,-1.7,2.4,1
-9.558e-03,-1.68,2.5,0.96
-9.556e-03,-1.76,2.6,0.96
-9.554e-03,-1.76,2.9,0.88
-9.552e-03,-1.8,2.6,0.96
-9.550e-03,-1.76,2.4,1.08
-9.548e-03,-1.76,2.8,0.88
-9.546e-03,-1.78,2.5,0.96
-9.544e-03,-1.74,2.5,1.08
-9.542e-03,-1.68,2.5,0.92
-9.540e-03,-1.76,2.5,0.92
-9.538e-03,-1.7,2.6,1
-9.536e-03,-1.76,2.4,1
-9.534e-03,-1.72,2.7,1.12
-9.532e-03,-1.76,2.6,0.96
-9.530e-03,-1.8,2.4,1.04
-9.528e-03,-1.76,2.3,0.84
-9.526e-03,-1.74,2.6,1.04
-9.524e-03,-1.74,2.5,1
-9.522e-03,-1.76,2.7,0.96
-9.520e-03,-1.76,2.6,1
-9.518e-03,-1.78,2.4,0.96
-9.516e-03,-1.76,2.6,0.96
