"TIME","CH1","CH2","CH4"
-4.4670e+01,0.5318,0.316,1.2
-4.4660e+01,0.5308,0.324,1.4
-4.4650e+01,0.5314,0.324,1.2
-4.4640e+01,0.5306,0.332,1.4
-4.4630e+01,0.5322,0.324,1.4
-4.4620e+01,0.5296,0.336,1.6
-4.4610e+01,0.5316,0.32,1.8
-4.4600e+01,0.5294,0.324,1.6
-4.4590e+01,0.5308,0.328,1
-4.4580e+01,0.53,0.328,1.4
-4.4570e+01,0.5312,0.332,1.4
-4.4560e+01,0.5298,0.324,1.4
-4.4550e+01,0.5312,0.324,1.4
-4.4540e+01,0.5302,0.316,1.4
-4.4530e+01,0.532,0.332,1.2
-4.4520e+01,0.53,0.32,1.6
-4.4510e+01,0.5312,0.328,1.8
-4.4500e+01,0.53,0.32,1.4
-4.4490e+01,0.53,0.332,1.4
-4.4480e+01,0.5294,0.32,1.4
-4.4470e+01,0.5294,0.312,1.4
-4.4460e+01,0.53,0.312,1.2
-4.4450e+01,0.531,0.32,1.4
-4.4440e+01,0.5288,0.324,1.2
-4.4430e+01,0.5298,0.324,1.4
-4.4420e+01,0.5298,0.336,1.2
-4.4410e+01,0.53,0.32,1.4
-4.4400e+01,0.5294,0.316,1.4
-4.4390e+01,0.53,0.324,1.4
-4.4380e+01,0.5298,0.312,1.2
-4.4370e+01,0.5304,0.32,1.4
-4.4360e+01,0.5286,0.32,1.4
-4.4350e+01,0.5308,0.332,1.4
-4.4340e+01,0.5296,0.328,1.4
-4.4330e+01,0.5308,0.324,1.4
-4.4320e+01,0.5294,0.328,1.6
-4.4310e+01,0.53,0.32,1.6
-4.4300e+01,0.5298,0.328,1
-4.4290e+01,0.5306,0.332,1.4
-4.4280e+01,0.5298,0.328,1.4
-4.4270e+01,0.5304,0.328,1.8
-4.4260e+01,0.53,0.328,1.8
-4.4250e+01,0.5312,0.328,1.4
-4.4240e+01,0.5296,0.328,1.8
-4.4230e+01,0.5318,0.312,1.4
-4.4220e+01,0.5304,0.324,1.4
-4.4210e+01,0.5302,0.328,1.4
-4.4200e+01,0.5302,0.32,1.4
-4.4190e+01,0.532,0.32,1.4
-4.4180e+01,0.5302,0.312,1.2
-4.4170e+01,0.5308,0.332,1.4
-4.4160e+01,0.53,0.328,0.8
-4.4150e+01,0.5308,0.328,1.4
-4.4140e+01,0.5294,0.332,1.4
-4.4130e+01,0.5306,0.332,1.4
-4.4120e+01,0.53,0.328,1.4
-4.4110e+01,0.5304,0.324,1.4
-4.4100e+01,0.5304,0.328,1.8
-4.4090e+01,0.5304,0.324,1.4
-4.4080e+01,0.53,0.32,1.4
-4.4070e+01,0.5306,0.328,1.6
-4.4060e+01,0.531,0.324,1.6
-4.4050e+01,0.531,0.332,1
-4.4040e+01,0.5296,0.32,1.4
-4.4030e+01,0.5304,0.324,2
-4.4020e+01,0.5302,0.328,1.2
-4.4010e+01,0.5312,0.328,1.2
-4.4000e+01,0.5304,0.316,2
-4.3990e+01,0.5302,0.324,1.4
-4.3980e+01,0.5306,0.304,1.2
-4.3970e+01,0.531,0.324,1
-4.3960e+01,0.5288,0.316,1.4
-4.3950e+01,0.5316,0.328,1.8
-4.3940e+01,0.53,0.32,1.8
-4.3930e+01,0.5308,0.324,1.4
-4.3920e+01,0.529,0.34,1.4
-4.3910e+01,0.5314,0.328,1.6
-4.3900e+01,0.5296,0.316,1.4
-4.3890e+01,0.53,0.328,1.8
-4.3880e+01,0.5304,0.324,1.4
-4.3870e+01,0.531,0.324,1.2
-4.3860e+01,0.5314,0.328,1.4
-4.3850e+01,0.531,0.316,1.4
-4.3840e+01,0.5288,0.332,1.4
-4.3830e+01,0.5314,0.332,1.4
-4.3820e+01,0.53,0.32,1.4
-4.3810e+01,0.5304,0.324,1.4
-4.3800e+01,0.5298,0.32,1.4
-4.3790e+01,0.531,0.324,1.4
-4.3780e+01,0.5294,0.328,1.2
-4.3770e+01,0.5312,0.328,1.4
-4.3760e+01,0.53,0.324,1.2
-4.3750e+01,0.5306,0.32,1.4
-4.3740e+01,0.5298,0.316,1.4
-4.3730e+01,0.5312,0.328,1.6
-4.3720e+01,0.5296,0.324,1.2
-4.3710e+01,0.5308,0.32,1.4
-4.3700e+01,0.5296,0.32,1.4
-4.3690e+01,0.5304,0.324,1
-4.3680e+01,0.5296,0.328,1.4
-4.3670e+01,0.5312,0.332,1.4
-4.3660e+01,0.5298,0.308,1.8
-4.3650e+01,0.531,0.308,1.2
-4.3640e+01,0.531,0.332,1.2
-4.3630e+01,0.5304,0.32,1.4
